City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
yulara,-25.2334936,130.9848698,53.6,27,0,9.17
vila velha,-20.3477821,-40.2949528,78.8,78,75,12.75
mayo,37.0328417,-95.63389889999999,71.6,46,90,10.29
saskylakh,71.954308,114.1198349,64.41,74,64,13.89
jacqueville,5.2059806,-4.4233534,75.2,94,20,1.12
tiznit,29.693392,-9.732156999999999,66.39,95,92,3.38
vestmannaeyjar,63.437679,-20.267321,50.82,92,88,6.4
baykit,61.6833669,96.38062029999999,47.4,83,76,3.94
viligili,0.7573413,73.43422699999999,91.68,75,0,6.96
mering,48.2653605,10.9861466,62.94,88,0,2.24
taolanaro,-25.0225309,46.9853688,74.85,100,92,2.82
merrill,36.0925854,-95.9587688,75.2,33,1,17.22
maceio,-9.6498487,-35.7089492,66.2,93,0,1.12
imbituba,-28.227627,-48.6691286,59.0,100,75,3.36
grand-santi,4.2507342,-54.38225,77.55,75,24,4.16
tatvan,38.501998,42.2812761,57.2,67,0,3.38
thompson,37.0360732,-95.6514459,66.2,88,75,2.24
tuatapere,-46.1357909,167.6892231,46.86,100,92,8.97
salihorsk,52.7899466,27.5359617,61.98,82,0,2.82
davidson,35.4993031,-80.8486846,69.8,100,40,6.73
opuwo,-18.0580139,13.8361177,45.15,66,0,2.93
cidreira,-30.1769388,-50.2089142,58.65,85,76,12.21
pangai,-19.811431,-174.3502613,77.0,57,75,8.05
punta arenas,-53.1638329,-70.9170683,41.0,93,90,6.93
itoman,26.1235841,127.6658145,86.58,84,75,16.11
kaeo,-35.1002758,173.7802793,57.84,72,44,8.97
kolokani,13.5733993,-8.0328815,68.64,97,12,8.97
muros,42.8073676,-9.0460525,73.4,94,0,4.83
canmore,51.0892428,-115.3597129,68.0,56,90,10.29
tazovskiy,67.46130400000001,78.70866389999999,45.42,67,48,8.97
fukue,32.7018615,128.7577605,89.6,66,20,4.7
havelock,34.8790492,-76.9013301,78.48,100,75,5.82
iwanai,42.97978510000001,140.5147528,73.95,85,0,6.85
chandbali,20.7739916,86.7436951,77.64,100,92,19.26
tabas,33.6033455,56.9323531,72.51,30,0,3.15
kawalu,-7.410349200000001,108.2021667,67.47,77,48,4.38
impfondo,1.6259451,18.0539382,68.37,95,36,2.15
